WKT,VALUE,,,KW,MW,GW
POINT (-1037442.50939345 10546887.047561),0.02021027,,3.24584447,38950133.64,38950.13364,38.95013364
POINT (-1044370.57554018 10543421.0840991),0.02050612,,,,,
POINT (-1030514.44324673 10543421.0840991),0.02037841,,,,,
POINT (-1037442.50939345 10539955.1206373),0.0204489,,,,,
POINT (-1044370.57554018 10536489.1571754),0.0204776,,,,,
POINT (-971625.880999566 10505295.4860188),0.02003627,,,,,
POINT (-964697.814852841 10501829.522557),0.02007904,,,,,
POINT (-964697.814852841 10494897.5956333),0.02005789,,,,,
POINT (-957769.748706116 10494897.5956333),0.02022297,,,,,
POINT (1134506.22760479 10418646.3994727),0.02145532,,,,,
POINT (1127578.16145807 10415180.4360109),0.02148482,,,,,
POINT (1131042.19453143 10411714.472549),0.02155855,,,,,
POINT (1124114.12838471 10408248.5090872),0.02150967,,,,,
POINT (1131042.19453143 10404782.5456254),0.02170465,,,,,
POINT (1124114.12838471 10390918.691778),0.02161458,,,,,
POINT (1117186.06223798 10387452.7283161),0.0216884,,,,,
POINT (1127578.16145807 10387452.7283161),0.02143466,,,,,
POINT (1120650.09531134 10383986.7648543),0.02149895,,,,,
POINT (1217643.02136549 10241882.2629187),0.02015984,,,,,
POINT (1210714.95521877 10238416.2994568),0.02021029,,,,,
POINT (1214178.98829213 10234950.335995),0.02019682,,,,,
POINT (1217643.02136549 10231484.3725331),0.0200716,,,,,
POINT (-691039.202057209 10210688.5917621),0.02043577,,,,,
POINT (-694503.235130571 10207222.6283002),0.02054231,,,,,
POINT (-687575.168983846 10207222.6283002),0.02044283,,,,,
POINT (-691039.202057209 10200290.7013765),0.02059608,,,,,
POINT (-985482.013293015 10117107.5782923),0.01925572,,,,,
POINT (2038618.85975239 10117107.5782923),0.02152796,,,,,
POINT (-992410.07943974 10113641.6148304),0.01869244,,,,,
POINT (2035154.82667903 10113641.6148304),0.02091424,,,,,
POINT (2038618.85975239 10110175.6513686),0.02140315,,,,,
POINT (1778816.37925021 10085913.9071357),0.02270032,,,,,
POINT (1778816.37925021 10078981.980212),0.0226502,,,,,
POINT (-600974.342149786 10054720.2359791),0.02046015,,,,,
POINT (-607902.408296511 10047788.3090554),0.0202633,,,,,
POINT (-646006.772103497 10040856.3821317),0.02058518,,,,,
POINT (-600974.342149786 10040856.3821317),0.02018676,,,,,
POINT (-646006.772103497 10026992.5282843),0.02066939,,,,,
POINT (455555.745225758 10023526.5648225),0.02051627,,,,,
POINT (452091.712152396 10020060.6013606),0.02052995,,,,,
POINT (459019.778299121 10020060.6013606),0.02033726,,,,,
POINT (455555.745225758 10016594.6378988),0.02057414,,,,,
POINT (459019.778299121 10013128.674437),0.02078348,,,,,
POINT (389739.116831872 10006196.7475133),0.02113567,,,,,
POINT (400131.21605196 10006196.7475133),0.02102256,,,,,
POINT (403595.249125322 10002730.7840514),0.02101153,,,,,
POINT (389739.116831872 9999264.82058957),0.02108062,,,,,
POINT (396667.182978597 9999264.82058957),0.02106094,,,,,
POINT (1120650.09531134 9981935.00328035),0.0200186,,,,,
POINT (1113722.02916462 9975003.07635666),0.02044837,,,,,
POINT (1120650.09531134 9975003.07635666),0.02010628,,,,,
POINT (1110257.99609126 9968071.14943298),0.02035291,,,,,
POINT (-514373.515315725 9943809.40520007),0.01972369,,,,,
POINT (-510909.482242363 9940343.44173822),0.01968103,,,,,
POINT (898951.978616149 9936877.47827638),0.02035243,,,,,
POINT (905880.044762874 9933411.51481453),0.02033407,,,,,
POINT (-479733.184582101 9929945.55135269),0.01952642,,,,,
POINT (898951.978616149 9929945.55135269),0.02029049,,,,,
POINT (-476269.151508738 9926479.58789084),0.01951239,,,,,
POINT (905880.044762874 9926479.58789084),0.02015875,,,,,
POINT (898951.978616149 9923013.624429),0.02010061,,,,,
POINT (2845738.56584583 9891819.9532724),0.02104225,,,,,
POINT (2842274.53277247 9884888.02634871),0.02131896,,,,,
POINT (2849202.5989192 9884888.02634871),0.02132118,,,,,
POINT (2845738.56584583 9877956.09942503),0.02141912,,,,,
POINT (1044441.36769737 9822500.68403552),0.0189265,,,,,
POINT (1037513.30155065 9819034.72057367),0.01924677,,,,,
POINT (1047905.40077073 9819034.72057367),0.01898022,,,,,
POINT (1040977.33462401 9812102.79364998),0.01888447,,,,,
POINT (1047905.40077073 9812102.79364998),0.01921926,,,,,
POINT (791566.953341914 9787841.04941707),0.0203348,,,,,
POINT (-70977.2819253328 9784375.08595523),0.01932141,,,,,
POINT (-64049.2157786079 9784375.08595523),0.0195032,,,,,
POINT (798495.019488639 9784375.08595523),0.02038757,,,,,
POINT (-60585.1827052454 9780909.12249339),0.01951211,,,,,
POINT (788102.920268552 9780909.12249339),0.02052214,,,,,
POINT (-396596.390821402 9777443.15903154),0.01983809,,,,,
POINT (-67513.2488519703 9777443.15903154),0.01922431,,,,,
POINT (805423.085635364 9777443.15903154),0.02064843,,,,,
POINT (-393132.35774804 9773977.1955697),0.01984967,,,,,
POINT (801959.052562001 9773977.1955697),0.0205417,,,,,
POINT (-396596.390821402 9770511.23210785),0.01990076,,,,,
POINT (-393132.35774804 9767045.26864601),0.01996495,,,,,
POINT (715358.225727941 9749715.45133679),0.02051694,,,,,
POINT (722286.291874665 9749715.45133679),0.02073669,,,,,
POINT (715358.225727941 9742783.5244131),0.02057809,,,,,
POINT (722286.291874665 9742783.5244131),0.02071599,,,,,
POINT (718822.258801303 9739317.56095126),0.02081207,,,,,
POINT (531764.472839732 9728919.67056572),0.02057113,,,,,
POINT (538692.538986457 9728919.67056572),0.02059469,,,,,
POINT (687645.961141041 9725453.70710388),0.02061913,,,,,
POINT (694574.027287766 9725453.70710388),0.02055587,,,,,
POINT (531764.472839732 9721987.74364203),0.02043634,,,,,
POINT (538692.538986457 9721987.74364203),0.02048938,,,,,
POINT (684181.928067679 9721987.74364203),0.02072055,,,,,
POINT (691109.994214404 9718521.78018019),0.02066231,,,,,
POINT (698038.060361128 9718521.78018019),0.02051269,,,,,
POINT (1539798.0971882 9697725.99940912),0.02354578,,,,,
POINT (1536334.06411484 9694260.03594728),0.02373616,,,,,
POINT (1543262.13026156 9694260.03594728),0.02390166,,,,,
POINT (1539798.0971882 9690794.07248544),0.02395167,,,,,
POINT (864311.647882525 9687328.10902359),0.02075005,,,,,
POINT (871239.71402925 9680396.1820999),0.02089524,,,,,
POINT (878167.780175975 9676930.21863806),0.0208263,,,,,
POINT (871239.71402925 9673464.25517621),0.02089805,,,,,
POINT (881631.813249337 9669998.29171437),0.02070385,,,,,
POINT (1661039.25475588 9604144.98593933),0.02241082,,,,,
POINT (1667967.32090261 9600679.02247749),0.02231682,,,,,
POINT (1664503.28782925 9593747.0955538),0.02086105,,,,,
POINT (1667967.32090261 9586815.16863011),0.02087703,,,,,
POINT (1695679.58548951 9586815.16863011),0.02194791,,,,,
POINT (1702607.65163623 9586815.16863011),0.02236577,,,,,
POINT (1695679.58548951 9579883.24170642),0.02187601,,,,,
POINT (1702607.65163623 9579883.24170642),0.02196339,,,,,
POINT (1695679.58548951 9572951.31478273),0.0205301,,,,,
POINT (1702607.65163623 9572951.31478273),0.02018923,,,,,
POINT (-261499.100960268 9538291.68016429),0.02117793,,,,,
POINT (-254571.034813543 9538291.68016429),0.02112565,,,,,
POINT (1519013.89874802 9534825.71670244),0.02357467,,,,,
POINT (-254571.034813543 9531359.7532406),0.0212546,,,,,
POINT (-247642.968666818 9531359.7532406),0.02122371,,,,,
POINT (1515549.86567466 9531359.7532406),0.02370228,,,,,
POINT (1522477.93182139 9531359.7532406),0.02360172,,,,,
POINT (1519013.89874802 9527893.78977876),0.02363634,,,,,
POINT (-244178.935593455 9524427.82631691),0.02129797,,,,,
POINT (1467053.40264759 9427380.84938527),0.02115305,,,,,
POINT (1463589.36957423 9423914.88592343),0.02139875,,,,,
POINT (1778816.37925021 9423914.88592343),0.02166328,,,,,
POINT (1785744.44539693 9423914.88592343),0.02185315,,,,,
POINT (1463589.36957423 9416982.95899974),0.02142421,,,,,
POINT (1467053.40264759 9413516.9955379),0.02092694,,,,,
POINT (178433.099356763 9250616.71283122),0.02190262,,,,,
POINT (181897.132430126 9243684.78590753),0.02132286,,,,,
POINT (462483.811372483 9222889.00513646),0.02321821,,,,,
POINT (469411.877519208 9222889.00513646),0.02320028,,,,,
POINT (476339.943665933 9219423.04167462),0.02317208,,,,,
POINT (462483.811372483 9212491.11475093),0.02299538,,,,,
POINT (472875.910592571 9212491.11475093),0.02306485,,,,,
POINT (452091.712152396 9209025.15128908),0.02272505,,,,,
POINT (607973.200453705 9153569.73589958),0.02398663,,,,,
POINT (604509.167380343 9146637.80897589),0.02388168,,,,,
POINT (611437.233527068 9146637.80897589),0.02374209,,,,,
POINT (1065225.56613755 9042658.90512056),0.02271667,,,,,
POINT (1068689.59921091 9035726.97819687),0.02268198,,,,,
POINT (1065225.56613755 9032261.01473503),0.02269963,,,,,
POINT (1626398.92402226 9028795.05127318),0.0244644,,,,,
POINT (1622934.8909489 9021863.1243495),0.02410935,,,,,
POINT (1633326.99016898 9021863.1243495),0.02374337,,,,,
POINT (1934697.86755152 8890156.51279941),0.0246029,,,,,
POINT (1927769.80140479 8886690.54933757),0.02427311,,,,,
POINT (1938161.90062488 8886690.54933757),0.02484892,,,,,
POINT (1934697.86755152 8883224.58587573),0.02480889,,,,,
POINT (1931233.83447815 8879758.62241388),0.02470276,,,,,